department,salary,averageMonthlyHours,projectCount,satisfaction,evaluation,yearsAtCompany,workAccident,turnover
sales,low,266,2,38.0,53.0,3,0,1
sales,medium,252,5,80.0,86.0,6,0,1
sales,medium,289,7,11.0,88.0,4,0,1
sales,low,275,5,72.0,87.0,5,0,1
sales,low,292,2,37.0,52.0,3,0,1
sales,low,271,2,41.0,50.0,3,0,1
sales,low,268,6,10.0,77.0,4,0,1
sales,low,274,5,92.0,85.0,5,0,1
sales,low,269,5,89.0,100.0,5,0,1
sales,low,280,2,42.0,53.0,3,0,1
sales,low,274,2,45.0,54.0,3,0,1
sales,low,280,6,11.0,81.0,4,0,1
sales,low,279,4,84.0,92.0,5,0,1
sales,low,286,2,41.0,55.0,3,0,1
sales,low,270,2,36.0,56.0,3,0,1
sales,low,291,2,38.0,54.0,3,0,1
sales,low,258,2,45.0,47.0,3,0,1
sales,low,287,4,78.0,99.0,6,0,1
sales,low,277,2,45.0,51.0,3,1,1
sales,low,290,5,76.0,89.0,5,0,1
sales,low,270,6,11.0,83.0,4,0,1
sales,low,265,2,38.0,55.0,3,0,1
sales,low,262,6,9.0,95.0,4,0,1
sales,low,265,2,46.0,57.0,3,0,1
sales,low,275,2,40.0,53.0,3,0,1
sales,low,274,5,89.0,92.0,5,0,1
sales,low,276,4,82.0,87.0,5,0,1
sales,low,278,2,40.0,49.0,3,0,1
accounting,low,283,2,41.0,46.0,3,0,1
accounting,low,281,2,38.0,50.0,3,0,1
accounting,low,259,6,9.0,62.0,4,0,1
hr,low,284,2,45.0,57.0,3,0,1
hr,low,289,2,40.0,51.0,3,0,1
hr,low,280,2,45.0,55.0,3,0,1
hr,low,261,4,84.0,87.0,6,0,1
technical,low,299,6,10.0,94.0,4,0,1
technical,low,276,2,38.0,46.0,3,0,1
technical,low,270,2,45.0,50.0,3,0,1
technical,low,279,6,11.0,89.0,4,0,1
technical,low,273,2,41.0,54.0,3,0,1
technical,low,288,5,87.0,88.0,5,0,1
technical,low,277,2,45.0,48.0,3,0,1
technical,low,269,2,40.0,46.0,3,0,1
technical,low,264,7,10.0,80.0,4,0,1
technical,low,282,6,9.0,89.0,4,0,1
technical,low,265,3,84.0,74.0,4,0,1
support,low,294,2,40.0,55.0,3,0,1
support,low,281,3,57.0,70.0,6,0,1
support,low,286,2,40.0,54.0,3,0,1
support,low,252,2,43.0,47.0,3,0,1
support,low,270,6,13.0,78.0,2,0,1
support,low,276,2,44.0,55.0,3,0,1
support,low,276,2,38.0,55.0,3,0,1
support,low,265,2,39.0,54.0,3,0,1
support,low,277,7,10.0,92.0,4,0,1
support,low,277,2,37.0,46.0,3,0,1
support,low,271,7,11.0,94.0,4,0,1
technical,low,265,6,10.0,81.0,4,0,1
technical,low,262,2,38.0,54.0,3,0,1
technical,low,289,4,85.0,100.0,5,0,1
management,medium,260,5,85.0,91.0,5,0,1
IT,medium,275,7,11.0,93.0,4,0,1
IT,medium,263,6,10.0,95.0,5,0,1
IT,medium,283,2,36.0,56.0,3,0,1
IT,medium,265,6,11.0,94.0,4,0,1
IT,medium,263,6,81.0,70.0,4,0,1
product_mng,medium,268,2,43.0,54.0,3,0,1
product_mng,medium,303,4,90.0,98.0,6,0,1
product_mng,medium,289,5,76.0,86.0,5,1,1
product_mng,medium,254,2,43.0,50.0,3,0,1
IT,medium,266,2,74.0,99.0,3,0,1
product_mng,medium,287,5,9.0,77.0,4,0,1
product_mng,high,271,2,45.0,49.0,3,0,1
product_mng,low,281,7,9.0,87.0,4,0,1
product_mng,medium,283,6,11.0,97.0,4,0,1
product_mng,medium,284,7,11.0,79.0,4,0,1
product_mng,medium,275,6,10.0,83.0,4,0,1
marketing,medium,269,2,40.0,54.0,3,0,1
sales,low,288,2,43.0,56.0,3,0,1
accounting,low,268,2,39.0,56.0,3,0,1
support,low,275,2,45.0,54.0,3,0,1
technical,low,264,2,38.0,49.0,3,0,1
management,low,277,4,79.0,59.0,3,0,1
marketing,low,284,4,84.0,85.0,6,0,1
marketing,low,258,6,11.0,77.0,4,0,1
marketing,low,276,6,11.0,87.0,4,0,1
sales,low,274,5,17.0,84.0,3,0,1
sales,low,284,2,44.0,45.0,3,0,1
sales,low,281,2,37.0,57.0,3,0,1
sales,low,279,6,10.0,79.0,4,0,1
sales,low,273,2,40.0,50.0,3,0,1
sales,low,268,5,89.0,100.0,5,0,1
sales,low,294,2,42.0,48.0,3,0,1
sales,low,295,2,46.0,55.0,3,0,1
sales,low,274,6,9.0,83.0,4,0,1
sales,low,272,2,37.0,51.0,3,0,1
sales,low,300,6,10.0,77.0,4,0,1
sales,low,259,6,10.0,84.0,4,0,1
sales,low,274,6,11.0,97.0,4,0,1
sales,medium,272,5,90.0,100.0,6,0,1
sales,medium,279,2,38.0,52.0,3,0,1
sales,medium,276,2,36.0,52.0,3,0,1
sales,medium,286,2,42.0,46.0,3,0,1
sales,medium,265,7,9.0,94.0,4,0,1
sales,medium,269,2,43.0,52.0,3,0,1
accounting,medium,266,7,24.0,46.0,5,0,1
accounting,medium,258,4,91.0,100.0,5,0,1
accounting,medium,276,2,44.0,50.0,3,0,1
hr,medium,295,3,71.0,87.0,4,0,1
hr,medium,266,2,40.0,49.0,3,0,1
hr,medium,271,2,43.0,47.0,3,0,1
hr,high,279,6,9.0,85.0,4,0,1
technical,low,260,2,43.0,52.0,3,0,1
technical,medium,273,4,90.0,96.0,5,0,1
technical,medium,286,5,84.0,100.0,5,0,1
technical,medium,268,2,37.0,48.0,3,0,1
technical,medium,280,5,86.0,68.0,2,0,1
technical,low,281,6,11.0,84.0,4,0,1
technical,low,280,2,37.0,57.0,3,0,1
technical,low,290,2,40.0,46.0,3,0,1
technical,low,273,4,14.0,62.0,4,1,1
technical,low,271,2,40.0,46.0,3,0,1
technical,low,270,4,75.0,100.0,6,0,1
support,low,276,6,11.0,84.0,5,1,1
support,low,273,2,46.0,49.0,3,0,1
support,low,273,6,11.0,92.0,4,0,1
support,low,276,2,38.0,49.0,3,0,1
support,low,264,3,70.0,89.0,5,0,1
support,low,277,6,9.0,82.0,4,0,1
support,low,283,2,37.0,45.0,3,0,1
support,low,259,6,10.0,83.0,4,0,1
support,low,291,2,38.0,57.0,3,0,1
support,low,287,5,90.0,100.0,5,0,1
support,low,275,2,44.0,51.0,3,0,1
technical,low,277,2,36.0,50.0,3,0,1
technical,low,275,7,31.0,84.0,5,0,1
technical,low,271,6,10.0,84.0,4,1,1
management,low,280,2,42.0,48.0,3,0,1
IT,low,288,4,74.0,100.0,5,0,1
IT,low,283,5,73.0,87.0,5,0,1
IT,low,263,6,9.0,96.0,4,0,1
IT,low,280,2,45.0,53.0,3,0,1
IT,low,270,6,11.0,80.0,4,0,1
product_mng,low,279,2,37.0,47.0,3,0,1
product_mng,low,277,4,84.0,99.0,5,0,1
product_mng,low,282,2,41.0,46.0,3,0,1
product_mng,low,292,4,76.0,92.0,5,0,1
IT,low,265,6,11.0,87.0,4,0,1
marketing,low,265,4,84.0,88.0,5,1,1
marketing,low,279,2,39.0,50.0,3,0,1
marketing,low,270,6,11.0,91.0,4,0,1
marketing,low,266,2,45.0,56.0,3,0,1
marketing,low,279,2,37.0,52.0,3,0,1
marketing,low,278,2,40.0,52.0,3,0,1
sales,low,279,2,39.0,48.0,3,0,1
accounting,low,274,6,11.0,80.0,4,0,1
support,low,282,5,83.0,100.0,5,0,1
technical,low,286,6,11.0,92.0,4,0,1
management,low,273,2,39.0,50.0,3,0,1
marketing,low,268,2,45.0,45.0,3,0,1
marketing,low,277,7,10.0,95.0,4,0,1
marketing,low,284,5,90.0,98.0,6,0,1
sales,low,287,2,45.0,51.0,3,0,1
sales,low,270,5,79.0,89.0,5,0,1
sales,low,260,5,90.0,99.0,5,0,1
sales,low,272,7,11.0,84.0,4,0,1
sales,low,278,2,43.0,55.0,3,0,1
sales,low,289,5,31.0,54.0,5,0,1
sales,low,286,2,32.0,50.0,5,0,1
sales,low,259,2,45.0,57.0,3,0,1
sales,low,282,4,81.0,99.0,5,0,1
sales,low,291,2,41.0,46.0,3,0,1
sales,low,284,7,11.0,78.0,4,0,1
sales,low,286,6,10.0,88.0,4,0,1
sales,low,292,2,70.0,53.0,4,0,1
sales,low,275,4,54.0,74.0,2,0,1
sales,low,269,2,41.0,48.0,3,0,1
sales,medium,274,2,38.0,50.0,3,0,1
sales,medium,272,2,37.0,51.0,3,0,1
sales,medium,290,6,11.0,85.0,5,0,1
sales,medium,303,2,40.0,47.0,3,0,1
accounting,medium,284,6,10.0,84.0,4,0,1
accounting,medium,286,5,89.0,99.0,5,0,1
accounting,medium,284,6,11.0,80.0,4,0,1
hr,medium,282,2,36.0,55.0,3,0,1
hr,medium,288,2,40.0,46.0,3,0,1
hr,medium,271,6,9.0,85.0,4,0,1
hr,medium,278,2,40.0,46.0,3,0,1
technical,medium,266,2,37.0,55.0,3,0,1
technical,high,259,2,44.0,51.0,3,0,1
technical,low,269,7,9.0,80.0,5,0,1
technical,medium,280,4,92.0,87.0,6,1,1
technical,medium,259,4,74.0,91.0,5,0,1
technical,medium,266,6,9.0,82.0,4,0,1
technical,medium,283,4,89.0,95.0,5,0,1
technical,low,273,6,9.0,80.0,4,0,1
technical,low,294,7,27.0,54.0,3,0,1
technical,low,261,6,10.0,91.0,4,0,1
technical,low,284,7,10.0,89.0,4,0,1
support,low,261,5,77.0,94.0,6,0,1
support,low,262,5,90.0,82.0,5,0,1
support,low,262,2,39.0,50.0,3,0,1
support,low,265,5,76.0,100.0,5,0,1
support,low,280,6,10.0,93.0,4,0,1
